DATE,ISRCPIALLMINMEI
1998-10-01,73.97919
1998-11-01,74.93995
1998-12-01,74.93995
1999-01-01,74.6197
1999-02-01,74.08594000000001
1999-03-01,73.87243000000001
1999-04-01,74.08594000000001
1999-05-01,74.51295
1999-06-01,74.72645
1999-07-01,74.93995
1999-08-01,75.26021
1999-09-01,75.47371
1999-10-01,76.00747
1999-11-01,75.90071999999999
1999-12-01,75.90071999999999
2000-01-01,75.47371
2000-02-01,75.26021
2000-03-01,74.93995
2000-04-01,75.36695999999999
2000-05-01,75.90071999999999
2000-06-01,76.22098000000001
2000-07-01,76.43448000000001
2000-08-01,75.90071999999999
2000-09-01,75.47371
2000-10-01,75.90071999999999
2000-11-01,75.90071999999999
2000-12-01,75.90071999999999
2001-01-01,75.36695999999999
2001-02-01,75.36695999999999
2001-03-01,75.47371
2001-04-01,76.22098000000001
2001-05-01,76.54123
2001-06-01,76.75474
2001-07-01,77.075
2001-08-01,77.2885
2001-09-01,77.502
2001-10-01,77.502
2001-11-01,77.075
2001-12-01,76.96824000000001
2002-01-01,77.82226
2002-02-01,78.56952
2002-03-01,78.78303000000001
2002-04-01,80.06405
2002-05-01,80.81132
2002-06-01,81.87884
2002-07-01,82.4126
2002-08-01,82.19909
2002-09-01,82.4126
2002-10-01,82.94636
2002-11-01,82.19909
2002-12-01,82.09234000000001
2003-01-01,82.19909
2003-02-01,82.51935
2003-03-01,82.73286
2003-04-01,82.51935
2003-05-01,82.19909
2003-06-01,81.66533000000001
2003-07-01,81.13157
2003-08-01,81.23833
2003-09-01,80.81132
2003-10-01,80.81132
2003-11-01,80.70456999999999
2003-12-01,80.49106
2004-01-01,80.38431
2004-02-01,80.49106
2004-03-01,80.38431
2004-04-01,81.34508000000001
2004-05-01,81.66533000000001
2004-06-01,81.66533000000001
2004-07-01,81.55858
2004-08-01,81.66533000000001
2004-09-01,81.55858
2004-10-01,81.55858
2004-11-01,81.45183
2004-12-01,81.55858
2005-01-01,81.02481999999999
2005-02-01,81.13157
2005-03-01,81.02481999999999
2005-04-01,81.55858
2005-05-01,81.87884
2005-06-01,81.98559
2005-07-01,82.73286
2005-08-01,82.94636
2005-09-01,83.05311
2005-10-01,83.69362
2005-11-01,83.58686999999999
